scenario_id,scenario,architecture,scenario_time_ns,total_toggles,tracked_bits,alpha,toggles_per_ns,est_power_w,est_power_mw
0,S0_fault_free,baseline,100560.000,329438,76,0.431057133,3.276034,3.276034208433e-05,0.032760342
0,S0_fault_free,dmr,100560.000,676220,160,0.420283910,6.724543,6.724542561655e-05,0.067245426
0,S0_fault_free,tmr,100560.000,965553,233,0.412092710,9.601760,9.601760143198e-05,0.096017601
0,S0_fault_free,adaptive,100560.000,2430846,629,0.384309868,24.173091,2.417309069212e-04,0.241730907
1,S1_flip_all_alu0,baseline,105170.000,344367,76,0.430840043,3.274384,3.274384330132e-05,0.032743843
1,S1_flip_all_alu0,dmr,105170.000,704572,160,0.418710184,6.699363,6.699362936199e-05,0.066993629
1,S1_flip_all_alu0,tmr,105170.000,1005713,233,0.410417876,9.562737,9.562736521822e-05,0.095627365
1,S1_flip_all_alu0,adaptive,105170.000,2530231,629,0.382487858,24.058486,2.405848626034e-04,0.240584863
2,S2_flip_all_alu1,baseline,105170.000,341898,76,0.427751060,3.250908,3.250908053627e-05,0.032509081
2,S2_flip_all_alu1,dmr,105170.000,701010,160,0.416593373,6.665494,6.665493962157e-05,0.066654940
2,S2_flip_all_alu1,tmr,105170.000,1000766,233,0.408399073,9.515698,9.515698393078e-05,0.095156984
2,S2_flip_all_alu1,adaptive,105170.000,2519707,629,0.380896975,23.958420,2.395841970144e-04,0.239584197
3,S3_flip_all_alu2,baseline,105170.000,342242,76,0.428181441,3.254179,3.254178948369e-05,0.032541789
3,S3_flip_all_alu2,dmr,105170.000,701438,160,0.416847723,6.669564,6.669563563754e-05,0.066695636
3,S3_flip_all_alu2,tmr,105170.000,1000841,233,0.408429679,9.516412,9.516411524199e-05,0.095164115
3,S3_flip_all_alu2,adaptive,105170.000,2517703,629,0.380594036,23.939365,2.393936483788e-04,0.239393648
4,S4_sa0_all_alu0,baseline,105170.000,302657,76,0.378656361,2.877788,2.877788342683e-05,0.028777883
4,S4_sa0_all_alu0,dmr,105170.000,580862,160,0.345192308,5.523077,5.523076923077e-05,0.055230769
4,S4_sa0_all_alu0,tmr,105170.000,924378,233,0.377226163,8.789370,8.789369592089e-05,0.087893696
4,S4_sa0_all_alu0,adaptive,105170.000,2287330,629,0.345769201,21.748883,2.174888276124e-04,0.217488828
5,S5_sa1_all_alu0,baseline,105170.000,302315,76,0.378228482,2.874536,2.874536464771e-05,0.028745365
5,S5_sa1_all_alu0,dmr,105170.000,580442,160,0.344942712,5.519083,5.519083388799e-05,0.055190834
5,S5_sa1_all_alu0,tmr,105170.000,923537,233,0.376882962,8.781373,8.781373015118e-05,0.087813730
5,S5_sa1_all_alu0,adaptive,105170.000,2285095,629,0.345431343,21.727631,2.172763145384e-04,0.217276315
6,S6_flip_lsb_alu0,baseline,105170.000,342049,76,0.427939977,3.252344,3.252343824284e-05,0.032523438
6,S6_flip_lsb_alu0,dmr,105170.000,701903,160,0.417124061,6.673985,6.673984976704e-05,0.066739850
6,S6_flip_lsb_alu0,tmr,105170.000,1002616,233,0.409154033,9.533289,9.533288960730e-05,0.095332890
6,S6_flip_lsb_alu0,adaptive,105170.000,2525166,629,0.381722196,24.010326,2.401032613863e-04,0.240103261
7,S7_flip_nibble_alu0,baseline,105170.000,343230,76,0.429417535,3.263573,3.263573262337e-05,0.032635733
7,S7_flip_nibble_alu0,dmr,105170.000,704110,160,0.418435628,6.694970,6.694970048493e-05,0.066949700
7,S7_flip_nibble_alu0,tmr,105170.000,1006015,233,0.410541119,9.565608,9.565608063136e-05,0.095656081
7,S7_flip_nibble_alu0,adaptive,105170.000,2533841,629,0.383033571,24.092812,2.409281163830e-04,0.240928116
8,S8_double_alu0_alu1,baseline,105170.000,343197,76,0.429376248,3.263259,3.263259484644e-05,0.032632595
8,S8_double_alu0_alu1,dmr,105170.000,703251,160,0.417925145,6.686802,6.686802320053e-05,0.066868023
8,S8_double_alu0_alu1,tmr,105170.000,1003754,233,0.409618435,9.544110,9.544109536940e-05,0.095441095
8,S8_double_alu0_alu1,adaptive,105170.000,2465201,629,0.372657457,23.440154,2.344015403632e-04,0.234401540
9,S9_double_alu1_alu2,baseline,105170.000,344334,76,0.430798757,3.274071,3.274070552439e-05,0.032740706
9,S9_double_alu1_alu2,dmr,105170.000,706034,160,0.419579015,6.713264,6.713264238851e-05,0.067132642
9,S9_double_alu1_alu2,tmr,105170.000,1007235,233,0.411038984,9.577208,9.577208329371e-05,0.095772083
9,S9_double_alu1_alu2,adaptive,105170.000,2473599,629,0.373926959,23.520006,2.352000570505e-04,0.235200057
10,S10_triple_fault,baseline,105170.000,344948,76,0.431566937,3.279909,3.279908719217e-05,0.032799087
10,S10_triple_fault,dmr,105170.000,705554,160,0.419293762,6.708700,6.708700199677e-05,0.067087002
10,S10_triple_fault,tmr,105170.000,1006597,233,0.410778625,9.571142,9.571141960635e-05,0.095711420
10,S10_triple_fault,adaptive,105170.000,2449622,629,0.370302424,23.292022,2.329202243986e-04,0.232920224
11,S11_random_faults,baseline,105170.000,425460,76,0.532296082,4.045450,4.045450223448e-05,0.040454502
11,S11_random_faults,dmr,105170.000,940656,160,0.559009223,8.944148,8.944147570600e-05,0.089441476
11,S11_random_faults,tmr,105170.000,1367993,233,0.558259446,13.007445,1.300744508890e-04,0.130074451
11,S11_random_faults,adaptive,105170.000,3449149,629,0.521398091,32.795940,3.279593990682e-04,0.327959399
12,S12_burst_fault_recovery,baseline,100050.000,325923,76,0.428631737,3.257601,3.257601199400e-05,0.032576012
12,S12_burst_fault_recovery,dmr,100050.000,668780,160,0.417778611,6.684458,6.684457771114e-05,0.066844578
12,S12_burst_fault_recovery,tmr,100050.000,954588,233,0.409489676,9.541109,9.541109445277e-05,0.095411094
12,S12_burst_fault_recovery,adaptive,100050.000,2403212,629,0.381877742,24.020110,2.402010994503e-04,0.240201099
