scenario_id,scenario,architecture,scenario_time_ns,total_toggles,tracked_bits,alpha,toggles_per_ns,est_power_w,est_power_mw
0,S0_fault_free,baseline,100560.000,329438,76,0.431057133,3.276034,3.931241050119e-05,0.039312411
0,S0_fault_free,dmr,100560.000,676220,160,0.420283910,6.724543,8.069451073986e-05,0.080694511
0,S0_fault_free,tmr,100560.000,965553,233,0.412092710,9.601760,1.152211217184e-04,0.115221122
0,S0_fault_free,adaptive,100560.000,1671541,452,0.367750553,16.622325,1.994678997613e-04,0.199467900
1,S1_flip_all_alu0,baseline,105170.000,344367,76,0.430840043,3.274384,3.929261196159e-05,0.039292612
1,S1_flip_all_alu0,dmr,105170.000,704572,160,0.418710184,6.699363,8.039235523438e-05,0.080392355
1,S1_flip_all_alu0,tmr,105170.000,1005713,233,0.410417876,9.562737,1.147528382619e-04,0.114752838
1,S1_flip_all_alu0,adaptive,105170.000,1760456,452,0.370335092,16.739146,2.008697537321e-04,0.200869754
2,S2_flip_all_alu1,baseline,105170.000,341898,76,0.427751060,3.250908,3.901089664353e-05,0.039010897
2,S2_flip_all_alu1,dmr,105170.000,701010,160,0.416593373,6.665494,7.998592754588e-05,0.079985928
2,S2_flip_all_alu1,tmr,105170.000,1000766,233,0.408399073,9.515698,1.141883807169e-04,0.114188381
2,S2_flip_all_alu1,adaptive,105170.000,1752968,452,0.368759892,16.667947,2.000153655986e-04,0.200015366
3,S3_flip_all_alu2,baseline,105170.000,342242,76,0.428181441,3.254179,3.905014738043e-05,0.039050147
3,S3_flip_all_alu2,dmr,105170.000,701438,160,0.416847723,6.669564,8.003476276505e-05,0.080034763
3,S3_flip_all_alu2,tmr,105170.000,1000841,233,0.408429679,9.516412,1.141969382904e-04,0.114196938
3,S3_flip_all_alu2,adaptive,105170.000,1752379,452,0.368635988,16.662347,1.999481601217e-04,0.199948160
4,S4_sa0_all_alu0,baseline,105170.000,302657,76,0.378656361,2.877788,3.453346011220e-05,0.034533460
4,S4_sa0_all_alu0,dmr,105170.000,580862,160,0.345192308,5.523077,6.627692307692e-05,0.066276923
4,S4_sa0_all_alu0,tmr,105170.000,924378,233,0.377226163,8.789370,1.054724351051e-04,0.105472435
4,S4_sa0_all_alu0,adaptive,105170.000,1640497,452,0.345100137,15.598526,1.871823143482e-04,0.187182314
5,S5_sa1_all_alu0,baseline,105170.000,302315,76,0.378228482,2.874536,3.449443757726e-05,0.034494438
5,S5_sa1_all_alu0,dmr,105170.000,580442,160,0.344942712,5.519083,6.622900066559e-05,0.066229001
5,S5_sa1_all_alu0,tmr,105170.000,923537,233,0.376882962,8.781373,1.053764761814e-04,0.105376476
5,S5_sa1_all_alu0,adaptive,105170.000,1638539,452,0.344688246,15.579909,1.869589046306e-04,0.186958905
6,S6_flip_lsb_alu0,baseline,105170.000,342049,76,0.427939977,3.252344,3.902812589141e-05,0.039028126
6,S6_flip_lsb_alu0,dmr,105170.000,701903,160,0.417124061,6.673985,8.008781972045e-05,0.080087820
6,S6_flip_lsb_alu0,tmr,105170.000,1002616,233,0.409154033,9.533289,1.143994675288e-04,0.114399468
6,S6_flip_lsb_alu0,adaptive,105170.000,1756387,452,0.369479124,16.700456,2.004054768470e-04,0.200405477
7,S7_flip_nibble_alu0,baseline,105170.000,343230,76,0.429417535,3.263573,3.916287914805e-05,0.039162879
7,S7_flip_nibble_alu0,dmr,105170.000,704110,160,0.418435628,6.694970,8.033964058191e-05,0.080339641
7,S7_flip_nibble_alu0,tmr,105170.000,1006015,233,0.410541119,9.565608,1.147872967576e-04,0.114787297
7,S7_flip_nibble_alu0,adaptive,105170.000,1762299,452,0.370722791,16.756670,2.010800418370e-04,0.201080042
8,S8_double_alu0_alu1,baseline,105170.000,343197,76,0.429376248,3.263259,3.915911381573e-05,0.039159114
8,S8_double_alu0_alu1,dmr,105170.000,703251,160,0.417925145,6.686802,8.024162784064e-05,0.080241628
8,S8_double_alu0_alu1,tmr,105170.000,1003754,233,0.409618435,9.544110,1.145293144433e-04,0.114529314
8,S8_double_alu0_alu1,adaptive,105170.000,1717010,452,0.361195654,16.326044,1.959125225825e-04,0.195912523
9,S9_double_alu1_alu2,baseline,105170.000,344334,76,0.430798757,3.274071,3.928884662927e-05,0.039288847
9,S9_double_alu1_alu2,dmr,105170.000,706034,160,0.419579015,6.713264,8.055917086622e-05,0.080559171
9,S9_double_alu1_alu2,tmr,105170.000,1007235,233,0.411038984,9.577208,1.149264999525e-04,0.114926500
9,S9_double_alu1_alu2,adaptive,105170.000,1722721,452,0.362397038,16.380346,1.965641532756e-04,0.196564153
10,S10_triple_fault,baseline,105170.000,344948,76,0.431566937,3.279909,3.935890463060e-05,0.039358905
10,S10_triple_fault,dmr,105170.000,705554,160,0.419293762,6.708700,8.050440239612e-05,0.080504402
10,S10_triple_fault,tmr,105170.000,1006597,233,0.410778625,9.571142,1.148537035276e-04,0.114853704
10,S10_triple_fault,adaptive,105170.000,1720674,452,0.361966424,16.360882,1.963305885709e-04,0.196330589
11,S11_random_faults,baseline,105170.000,425460,76,0.532296082,4.045450,4.854540268137e-05,0.048545403
11,S11_random_faults,dmr,105170.000,940656,160,0.559009223,8.944148,1.073297708472e-04,0.107329771
11,S11_random_faults,tmr,105170.000,1367993,233,0.558259446,13.007445,1.560893410668e-04,0.156089341
11,S11_random_faults,adaptive,105170.000,2457453,452,0.516957585,23.366483,2.803977940477e-04,0.280397794
12,S12_burst_fault_recovery,baseline,100050.000,325923,76,0.428631737,3.257601,3.909121439280e-05,0.039091214
12,S12_burst_fault_recovery,dmr,100050.000,668780,160,0.417778611,6.684458,8.021349325337e-05,0.080213493
12,S12_burst_fault_recovery,tmr,100050.000,954588,233,0.409489676,9.541109,1.144933133433e-04,0.114493313
12,S12_burst_fault_recovery,adaptive,100050.000,1662209,452,0.367561573,16.613783,1.993653973013e-04,0.199365397
